,StartFlow,NumIPdst,NumCon,NumPorts,MinLenrx,FirstPktLen,TCPoverIP,MinLen,UDPoverIP,DNSoverIP,RstFlagDist,label
16,0.5670852170462864,-0.1738549716270181,-0.17007178363252745,1.1213537873201178,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
17,0.5670852190476029,-0.1738549716270181,-0.17007178363252745,1.2842545069133384,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
18,0.5670852193951799,-0.1738549716270181,-0.17007178363252745,0.23143871473694394,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
20,0.5670852279847651,-0.1738549716270181,-0.17007178363252745,-0.7008501915879418,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,0.011910029734442749,1.0
21,0.5670852326068472,-0.1738549716270181,-0.17007178363252745,-0.7008501915879418,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
138,0.5617134366227676,-0.1738549716270181,-0.17007178363252745,-0.7008501915879418,-0.5770762804354624,0.5406195813312124,0.08464151001209914,-0.4572303313636533,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
139,0.5617134368845095,-0.1738549716270181,-0.17007178363252745,-0.7008501915879418,-0.5770762804354624,0.5406195813312124,0.08464151001209914,-0.4572303313636533,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
140,0.5617134372707093,-0.1738549716270181,-0.17007178363252745,1.2437949174604368,-0.5770762804354624,0.5406195813312124,0.08464151001209914,-0.4572303313636533,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
162,0.5679458814288639,-0.1738549716270181,-0.17007178363252745,0.23143871473694394,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
163,0.5679458843395659,-0.1738549716270181,-0.17007178363252745,-0.7008501915879418,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
164,0.5679458845513223,-0.1738549716270181,-0.17007178363252745,1.1213537873201178,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
166,0.5679458850023307,-0.1738549716270181,-0.17007178363252745,-0.7008501915879418,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
188,0.568445328470684,-0.1738549716270181,-0.17007178363252745,-0.7008501915879418,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
189,0.5684453317310811,-0.1738549716270181,-0.17007178363252745,1.0236105647725269,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
191,0.5684453320614524,-0.1738549716270181,-0.17007178363252745,1.0236105647725269,-0.5770762804354624,0.5406195813312124,0.08464151001209914,0.2794389460213239,-0.03757639850544309,-0.005283128316192238,-0.007169369410631124,1.0
